candidate_id,source_file,start_ms,end_ms,duration_ms,context_start_ms,context_end_ms,peak_freq_hz,peak_energy_db,interference_flag,spectrogram_path,label
2024-09-30_11-20-38_0000028_noise_0e3d96ae,2024-09-30_11-20-38_0000028.wav,2840.953315254314,2862.9541756721273,22.00086041781333,2790.953315254314,2912.9541756721273,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-20-38_0000028_noise_0e3d96ae.png,Not USV
2024-09-30_11-19-00_0000007_noise_e611cefe,2024-09-30_11-19-00_0000007.wav,8359.937428881676,8438.855126014798,78.91769713312169,8309.937428881676,8488.855126014798,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-19-00_0000007_noise_e611cefe.png,Not USV
2024-09-30_11-21-44_0000045_noise_9ba2c1d2,2024-09-30_11-21-44_0000045.wav,2121.487110510198,2148.442217120551,26.95510661035314,2071.487110510198,2198.442217120551,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-21-44_0000045_noise_9ba2c1d2.png,Not USV
2024-09-30_11-18-17_0000001_noise_3da88093,2024-09-30_11-18-17_0000001.wav,7575.73572799794,7613.226765982228,37.491037984288596,7525.73572799794,7663.226765982228,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-18-17_0000001_noise_3da88093.png,Not USV
2024-09-30_11-18-17_0000001_noise_9b0401e3,2024-09-30_11-18-17_0000001.wav,7688.349705314626,7724.256717369558,35.90701205493224,7638.349705314626,7774.256717369558,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-18-17_0000001_noise_9b0401e3.png,Not USV
2024-09-30_11-20-14_0000022_noise_ce92bd63,2024-09-30_11-20-14_0000022.wav,4913.060748716058,4950.695998479314,37.63524976325607,4863.060748716058,5000.695998479314,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-20-14_0000022_noise_ce92bd63.png,Not USV
2024-09-30_11-21-26_0000040_noise_f2bb935c,2024-09-30_11-21-26_0000040.wav,2227.281877874242,2247.801778648487,20.51990077424489,2177.281877874242,2297.801778648487,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-21-26_0000040_noise_f2bb935c.png,Not USV
2024-09-30_11-20-53_0000032_noise_8b77b330,2024-09-30_11-20-53_0000032.wav,2328.1210124097847,2375.3410537312243,47.22004132143957,2278.1210124097847,2425.3410537312243,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-20-53_0000032_noise_8b77b330.png,Not USV
2024-09-30_11-21-57_0000048_noise_1b81e51d,2024-09-30_11-21-57_0000048.wav,83.2653776102948,130.19294121930494,46.927563609010136,33.265377610294806,180.19294121930494,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-21-57_0000048_noise_1b81e51d.png,Not USV
2024-09-30_11-18-34_0000004_noise_10e9dc49_trimmed,2024-09-30_11-18-34_0000004.wav,4572.123209413828,4659.922758721625,87.79954930779695,4522.123209413828,4709.922758721625,0.0,0.0,False,C:\Users\light\PycharmProjects\mickey_london_lab\noise_samples\2024-09-30_11-18-34_0000004_noise_10e9dc49_trimmed.png,Not USV
