wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_11-29-34_0000149,0,1.937920,2.018987,81.07,0.115808,0.080996,,2026-02-16T10:51:15.888730
2024-09-30_11-29-34_0000149,1,2.044587,2.170639,126.05,0.219908,0.119592,,2026-02-16T10:51:16.286860
2024-09-30_11-29-34_0000149,2,2.210314,2.331474,121.16,0.000000,0.000000,added_manually,2026-02-16T10:51:16.714861
2024-09-30_11-29-34_0000149,3,2.392054,2.521746,129.69,0.137078,0.081250,,2026-02-16T10:51:17.149254
2024-09-30_11-29-34_0000149,4,2.633387,2.722987,89.60,0.176495,0.089588,,2026-02-16T10:51:17.573755
2024-09-30_11-29-34_0000149,5,2.778453,2.821120,42.67,0.089863,0.068821,,2026-02-16T10:51:17.999255
2024-09-30_11-29-34_0000149,6,2.872320,2.932053,59.73,0.163302,0.121061,,2026-02-16T10:51:18.391255
2024-09-30_11-29-34_0000149,7,2.953387,3.038720,85.33,0.118907,0.079445,,2026-02-16T10:51:18.782755
2024-09-30_11-29-34_0000149,8,3.064320,3.141120,76.80,0.150717,0.114306,,2026-02-16T10:51:19.160812
2024-09-30_11-29-34_0000149,9,3.222187,3.264853,42.67,0.112059,0.080393,,2026-02-16T10:51:19.655811
