file,id,label,accepted,score,begin_time_s,end_time_s,call_length_s,principal_freq_hz,low_freq_hz,high_freq_hz,bandwidth_hz,freq_std_dev_hz,slope,sinuosity,mean_power_db,tonality,peak_freq_khz,source_file,wav_stem,det_start_s,det_end_s,det_duration_ms,det_index,det_prob_max,det_prob_mean,det_user_action,det_json_path,match_quality,match_distance_ms,peak_freq_hz,syllable_type,classification_confidence
2024-10-06_14-58-31_0000121,1.0,Cluster_8,1.0,1.0,1.0297533333333333,1.0669933333333332,0.0372399999999999,29.545454545454547,26.51515151515152,38.63636363636364,12.121212121212125,2.5643880598576856,-79.45638017643995,1.533732287430558,-56.176179927429125,0.4948476024935452,29.545454545454547,classified_Stats.xlsx,2024-10-06_14-58-31_0000121,1.02912,1.06752,38.39999999999999,0.0,0.9380964636802672,0.8844975411891938,,results/batch_9252/detections/2024-10-06_14-58-31_0000121.json,fuzzy,0.633,,Flat,medium
2024-10-06_15-00-22_0000127,1.0,Cluster_8,1.0,1.0,1.0435133333333333,1.0842066666666668,0.0406933333333334,27.727272727272727,26.363636363636363,42.72727272727273,16.363636363636363,3.1331839452900705,-70.4462699442752,2.10258787435184,-55.1432422950676,0.4736154000563853,27.727272727272727,classified_Stats.xlsx,2024-10-06_15-00-22_0000127,1.037653333333333,1.0845866666666666,46.93333333333327,0.0,0.9679009914398192,0.8827930043141047,,results/batch_9252/detections/2024-10-06_15-00-22_0000127.json,fuzzy,5.86,,Flat,medium
2024-10-06_15-03-22_0000144,1.0,Cluster_8,1.0,1.0,1.5543900000000002,1.5823200000000002,0.02793,28.04054054054054,26.013513513513512,48.310810810810814,22.297297297297305,4.1370508009587335,24.55936636800836,3.1750865799906345,-67.10657294413208,0.3142929603989638,28.04054054054054,classified_Stats.xlsx,2024-10-06_15-03-22_0000144,1.55392,1.6392533333333332,85.33333333333326,0.0,0.8569706678390503,0.7086377853438968,,results/batch_9252/detections/2024-10-06_15-03-22_0000144.json,fuzzy,0.47,,Flat,medium
2024-10-06_15-07-36_0000160,1.0,Cluster_8,1.0,1.0,1.6019466666666666,1.6961466666666667,0.0942,32.08201335104516,25.949367088607595,45.49878864176032,19.54942155315273,5.262930098561532,31.677955714274034,2.0781488304000213,-49.31909476832392,0.3671350549940784,26.89873417721519,classified_Stats.xlsx,2024-10-06_15-07-36_0000160,1.6008533333333332,1.6989866666666666,98.1333333333334,0.0,0.8946454524993896,0.7423940065006415,,results/batch_9252/detections/2024-10-06_15-07-36_0000160.json,fuzzy,1.093,,Flat,medium
2024-10-06_15-07-48_0000162,1.0,Cluster_8,1.0,1.0,1.51588,1.52006,0.0041799999999998,28.91304347826087,28.91304347826087,47.173913043478265,18.260869565217394,7.057079533454472,3672.528844153559,2.158870102241086,-71.37669442670304,0.2753763230711973,28.91304347826087,classified_Stats.xlsx,2024-10-06_15-07-48_0000162,1.51552,1.56672,51.19999999999991,0.0,0.882440447807312,0.7317880483774039,,results/batch_9252/detections/2024-10-06_15-07-48_0000162.json,fuzzy,0.36,,Short,high
2024-10-06_15-19-18_0000215,1.0,Cluster_8,1.0,1.0,1.5842900000000002,1.59948,0.0151899999999998,27.027027027027028,26.013513513513512,29.054054054054056,3.040540540540544,1.0130025412029855,-5.686569626661788,1.6643558136453356,-72.13123963014365,0.2284789859307833,27.027027027027028,classified_Stats.xlsx,2024-10-06_15-19-18_0000215,1.583786666666667,1.66912,85.33333333333326,0.0,0.9459187388420104,0.8257097176143101,,results/batch_9252/detections/2024-10-06_15-19-18_0000215.json,fuzzy,0.503,,Flat,medium
2024-10-06_15-28-21_0000272,1.0,Cluster_8,1.0,1.0,1.4732966666666667,1.5082033333333331,0.0349066666666666,28.781512605042018,26.26050420168067,46.42857142857143,20.16806722689076,3.5883524776774687,-82.02279791813208,1.642191519901212,-70.72186769149292,0.2675860379643475,27.521008403361343,classified_Stats.xlsx,2024-10-06_15-28-21_0000272,1.4728533333333331,1.52832,55.46666666666656,0.0,0.8806683421134949,0.7140405497380665,,results/batch_9252/detections/2024-10-06_15-28-21_0000272.json,fuzzy,0.443,,Flat,medium
2024-10-06_15-34-46_0000298,1.0,Cluster_8,1.0,1.0,0.97014,0.99864,0.0285,44.56521739130434,26.30434782608696,58.91304347826087,32.60869565217391,5.388360087761356,134.24970789778712,3.815733075254272,-70.36818239993458,0.2788424017712336,40.65217391304348,classified_Stats.xlsx,2024-10-06_15-34-46_0000298,0.9480533333333332,0.9992533333333332,51.20000000000002,0.0,0.8942572474479675,0.7425963488908914,,results/batch_9252/detections/2024-10-06_15-34-46_0000298.json,fuzzy,22.087,,Complex,low
2024-10-06_15-34-46_0000298,2.0,Cluster_8,1.0,1.0,1.6384233333333331,1.6986066666666668,0.0601833333333334,28.79746835443038,25.949367088607595,48.734177215189874,22.78481012658228,5.937452775612407,89.48751642388416,2.041795984231339,-70.1550694909081,0.268498781848028,28.79746835443038,classified_Stats.xlsx,2024-10-06_15-34-46_0000298,1.6221866666666669,1.72032,98.1333333333334,1.0,0.9306886792182922,0.8430023044347763,,results/batch_9252/detections/2024-10-06_15-34-46_0000298.json,fuzzy,16.237,,Flat,medium
2024-10-06_15-35-41_0000308,1.0,Cluster_8,1.0,1.0,2.65108,2.717813333333333,0.066733333333333,36.04204983982106,25.878371265535574,49.44474688501136,23.56637561947578,4.1447877142620495,47.94867739251044,1.779612615424809,-53.60311042305873,0.4105025857999267,38.54838709677419,classified_Stats.xlsx,2024-10-06_15-35-41_0000308,2.6248533333333333,2.71872,93.86666666666656,0.0,0.9529948830604552,0.7702735481054886,,results/batch_9252/detections/2024-10-06_15-35-41_0000308.json,fuzzy,26.227,,Flat,medium
