wav_file,start_time_s,end_time_s
2024-09-30_11-22-17_0000053,0.20565333333333333,0.24405333333333334
2024-09-30_11-22-17_0000053,0.68352,0.72192
2024-09-30_11-22-17_0000053,1.0205866666666668,1.1229866666666666
2024-09-30_11-22-17_0000053,1.1784533333333334,1.2637866666666666
2024-09-30_11-22-17_0000053,1.3149866666666667,1.3789866666666666
2024-09-30_11-22-19_0000054,1.0205866666666668,1.0717866666666667
2024-09-30_11-22-19_0000054,1.1485866666666666,1.23392
2024-09-30_11-22-19_0000054,1.2893866666666667,1.4216533333333334
2024-09-30_11-22-21_0000055,1.4472533333333333,1.4856533333333333
2024-09-30_11-22-21_0000055,1.5581866666666666,1.6221866666666667
2024-09-30_11-22-21_0000055,3.4312533333333333,3.465386666666667
2024-09-30_11-22-21_0000055,3.53792,3.57632
2024-09-30_11-22-25_0000056,0.022186666666666667,0.09472
2024-09-30_11-22-25_0000056,0.15445333333333333,0.21845333333333333
2024-09-30_11-22-25_0000056,1.0845866666666666,1.1229866666666666
2024-09-30_11-22-25_0000056,1.78432,1.82272
2024-09-30_11-22-25_0000056,1.8824533333333333,1.9208533333333333
2024-09-30_11-22-25_0000056,1.97632,2.02752
2024-09-30_11-22-25_0000056,2.1597866666666667,2.1981866666666665
2024-09-30_11-22-25_0000056,2.27072,2.36032
2024-09-30_11-22-25_0000056,2.38592,2.4328533333333335
2024-09-30_11-22-25_0000056,3.8237866666666664,3.8664533333333333
2024-09-30_11-22-25_0000056,3.913386666666667,3.96032
2024-09-30_11-22-25_0000056,4.015786666666667,4.084053333333333
2024-09-30_11-22-25_0000056,4.143786666666666,4.258986666666667
2024-09-30_11-22-25_0000056,4.429653333333333,4.519253333333333
2024-09-30_11-22-25_0000056,4.84352,4.911786666666667
2024-09-30_11-22-25_0000056,4.97152,5.03552
2024-09-30_11-22-25_0000056,5.120853333333334,5.2360533333333334
2024-09-30_11-22-25_0000056,5.261653333333333,5.3597866666666665
2024-09-30_11-22-25_0000056,5.428053333333334,5.526186666666667
2024-09-30_11-22-25_0000056,5.61152,5.679786666666667
2024-09-30_11-22-25_0000056,5.705386666666667,5.81632
2024-09-30_11-22-25_0000056,5.858986666666667,5.965653333333333
2024-09-30_11-22-25_0000056,6.464853333333333,6.626986666666666
2024-09-30_11-22-32_0000057,0.99072,1.0589866666666667
2024-09-30_11-22-32_0000057,1.3960533333333334,1.4600533333333334
2024-09-30_11-22-34_0000058,1.02912,1.08032
2024-09-30_11-22-34_0000058,1.55392,1.60512
2024-09-30_11-22-34_0000058,1.6733866666666666,1.7160533333333334
2024-09-30_11-22-34_0000058,1.78432,1.84832
2024-09-30_11-22-34_0000058,1.9037866666666667,1.9549866666666667
2024-09-30_11-22-34_0000058,2.1000533333333333,2.1512533333333335
2024-09-30_11-22-34_0000058,2.53952,2.5949866666666668
2024-09-30_11-22-34_0000058,2.7485866666666667,2.80832
2024-09-30_11-22-38_0000059,0.70912,0.77312
2024-09-30_11-22-38_0000059,0.8797866666666667,0.95232
2024-09-30_11-22-40_0000060,2.0104533333333334,2.048853333333333
2024-09-30_11-22-42_0000061,0.09898666666666667,0.13738666666666666
2024-09-30_11-22-42_0000061,0.29952,0.3549866666666667
2024-09-30_11-22-42_0000061,0.38912,0.43178666666666665
2024-09-30_11-22-42_0000061,0.49152,0.5384533333333333
2024-09-30_11-22-42_0000061,0.5768533333333333,0.6493866666666667
2024-09-30_11-22-42_0000061,0.6877866666666667,0.7261866666666666
2024-09-30_11-22-42_0000061,0.88832,0.9608533333333333
2024-09-30_11-22-42_0000061,1.01632,1.0717866666666667
