stem,detection_idx,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window
2024-09-30_11-22-40_0000060,0,2.010453333333333,2.048853333333333,0.0383999999999997,0.8682993650436401,0.8239785730838776,10,466,475
2024-09-30_11-25-56_0000111,0,1.6477866666666667,1.6861866666666667,0.0383999999999999,0.865372896194458,0.7329624384641648,10,381,390
2024-09-30_11-27-13_0000125,0,1.0632533333333334,1.1016533333333334,0.0383999999999999,0.8375841379165649,0.7677761852741242,10,244,253
2024-09-30_11-27-13_0000125,1,1.19552,1.2296533333333333,0.0341333333333333,0.8067203164100647,0.7444573508368598,9,275,283
2024-09-30_11-27-13_0000125,2,1.32352,1.3576533333333334,0.0341333333333333,0.8064974546432495,0.74687616692649,9,305,313
2024-09-30_11-29-43_0000150,0,1.59232,1.63072,0.0383999999999999,0.8658095598220825,0.7638243287801743,10,368,377
2024-09-30_11-31-14_0000166,0,0.9864533333333332,1.0205866666666668,0.0341333333333334,0.8630493879318237,0.8010359009106954,9,226,234
2024-09-30_11-55-39_0000365,0,0.15872,0.1928533333333333,0.0341333333333333,0.6640681624412537,0.5888047946823968,9,32,40
2024-09-30_11-55-39_0000365,1,1.01632,1.0760533333333333,0.0597333333333334,0.8536091446876526,0.765712292989095,15,233,247
2024-09-30_12-19-37_0000491,0,0.2568533333333333,0.2696533333333333,0.0128,0.6289791464805603,0.5315420255064964,4,55,58
2024-09-30_12-19-37_0000491,1,0.32512,0.36352,0.0383999999999999,0.6313618421554565,0.5724649846553802,10,71,80
2024-09-30_12-19-37_0000491,2,1.2253866666666666,1.23392,0.0085333333333332,0.6747965812683105,0.574180414279302,3,282,284
2024-09-30_12-19-37_0000491,3,1.98912,2.02752,0.0383999999999999,0.6308625936508179,0.6022031217813492,10,461,470
2024-09-30_12-19-37_0000491,4,2.29632,2.3560533333333336,0.0597333333333334,0.8511344194412231,0.7121171136697133,15,533,547
2024-09-30_12-19-37_0000491,5,2.4541866666666667,2.4925866666666665,0.0383999999999997,0.6386705636978149,0.5543889820575714,10,570,579
2024-09-30_12-19-52_0000494,0,0.4360533333333333,0.4872533333333333,0.0511999999999999,0.7066567540168762,0.5682740555359767,13,97,109
2024-09-30_12-19-52_0000494,1,1.68192,1.7245866666666667,0.0426666666666666,0.8585973978042603,0.8028417067094282,11,389,399
2024-09-30_12-19-52_0000494,2,1.805653333333333,1.8568533333333328,0.0511999999999999,0.8297532796859741,0.7518257865538964,13,418,430
2024-09-30_12-19-52_0000494,3,2.1000533333333333,2.11712,0.0170666666666665,0.6685872673988342,0.587126225233078,5,487,491
2024-09-30_12-19-52_0000494,4,2.125653333333333,2.15552,0.0298666666666669,0.6018916368484497,0.5247809924185276,8,493,500
2024-09-30_12-19-52_0000494,5,2.6845866666666667,2.69312,0.0085333333333332,0.6284494996070862,0.5602414011955261,3,624,626
2024-09-30_12-19-52_0000494,6,2.75712,2.799786666666667,0.0426666666666668,0.6752628087997437,0.576912828467109,11,641,651
2024-09-30_12-28-58_0000551,0,1.6136533333333334,1.65632,0.0426666666666666,0.8956257104873657,0.7950928211212158,11,373,383
2024-09-30_13-40-11_0000863,0,1.24672,1.289386666666667,0.0426666666666666,0.893170177936554,0.7789563103155657,11,287,297
2024-09-30_13-54-41_0000947,0,1.10592,1.14432,0.0383999999999999,0.8781992197036743,0.8070851117372513,10,254,263
2024-09-30_13-54-41_0000947,1,1.23392,1.2680533333333333,0.0341333333333333,0.8780831098556519,0.8364936179584928,9,284,292
2024-09-30_14-10-34_0000982,0,0.9864533333333332,1.0205866666666668,0.0341333333333334,0.8682666420936584,0.7446089651849535,9,226,234
2024-09-30_15-25-53_0001253,0,1.0205866666666668,1.0717866666666669,0.0511999999999999,0.873180091381073,0.7238670472915356,13,234,246
2024-09-30_16-00-41_0001338,0,1.1485866666666666,1.18272,0.0341333333333333,0.8335650563240051,0.7943192587958442,9,264,272
2024-09-30_16-00-41_0001338,1,1.2765866666666668,1.31072,0.0341333333333333,0.8335650563240051,0.7943192587958442,9,294,302
2024-09-30_16-16-51_0001439,0,1.0120533333333332,1.0461866666666666,0.0341333333333333,0.8846466541290283,0.8349558379915025,9,232,240
2024-09-30_16-41-01_0001493,0,0.9821866666666668,1.0248533333333334,0.0426666666666667,0.8598374724388123,0.7562811103734103,11,225,235
2024-09-30_16-41-01_0001493,1,1.08032,1.11872,0.0383999999999999,0.8672053813934326,0.7984745800495148,10,248,257
2024-09-30_17-03-56_0001628,0,0.2440533333333333,0.2653866666666666,0.0213333333333333,0.640513002872467,0.5658429861068726,6,52,57
2024-09-30_17-03-56_0001628,1,0.68352,0.7261866666666666,0.0426666666666666,0.6879444122314453,0.5909571539271962,11,155,165
2024-09-30_17-03-56_0001628,2,1.0461866666666666,1.08032,0.0341333333333333,0.6305945515632629,0.551504049036238,9,240,248
2024-09-30_17-03-56_0001628,3,1.1869866666666666,1.2296533333333333,0.0426666666666666,0.7936370372772217,0.7037439942359924,11,273,283
2024-09-30_17-03-56_0001628,4,1.3149866666666667,1.3576533333333334,0.0426666666666666,0.7936370372772217,0.7037439942359924,11,303,313
2024-09-30_17-03-56_0001628,5,1.40032,1.4216533333333334,0.0213333333333334,0.6088541746139526,0.5227131992578506,6,323,328
2024-09-30_17-03-56_0001628,6,1.545386666666667,1.56672,0.0213333333333332,0.6434508562088013,0.5970856299002966,6,357,362
2024-09-30_17-03-56_0001628,7,2.37312,2.41152,0.0383999999999997,0.6431408524513245,0.5866858899593353,10,551,560
2024-09-30_17-11-57_0001700,0,0.9736533333333334,1.0077866666666666,0.0341333333333332,0.7883192896842957,0.6278150180975596,9,223,231
2024-09-30_17-11-57_0001700,1,1.6392533333333332,1.6989866666666666,0.0597333333333334,0.8917335271835327,0.7721603512763977,15,379,393
2024-09-30_17-11-57_0001700,2,2.56512,2.5949866666666668,0.0298666666666669,0.6743386387825012,0.6014200821518898,8,596,603
2024-09-30_17-11-57_0001700,3,2.6333866666666665,2.64192,0.0085333333333332,0.6119667887687683,0.5740261276563009,3,612,614
2024-09-30_17-11-57_0001700,4,3.4141866666666667,3.456853333333333,0.0426666666666664,0.8623548746109009,0.744848755272952,11,795,805
2024-09-30_17-32-22_0001845,0,0.9992533333333332,1.033386666666667,0.0341333333333333,0.6290050148963928,0.5775375697347853,9,229,237
2024-09-30_17-32-22_0001845,1,1.08032,1.11872,0.0383999999999999,0.7015419602394104,0.616836816072464,10,248,257
2024-09-30_17-32-22_0001845,2,1.20832,1.24672,0.0383999999999999,0.7021858096122742,0.6194091141223907,10,278,287
2024-09-30_17-32-22_0001845,3,1.33632,1.41312,0.0767999999999999,0.701574981212616,0.6221621067900407,19,308,326
2024-09-30_17-32-22_0001845,4,2.44992,2.48832,0.0383999999999997,0.6880188584327698,0.641115152835846,10,569,578
2024-09-30_17-32-22_0001845,5,2.5565866666666666,2.57792,0.0213333333333336,0.6238237023353577,0.564353734254837,6,594,599
2024-09-30_17-32-22_0001845,6,2.6120533333333333,2.65472,0.0426666666666668,0.862411379814148,0.7652090896259655,11,607,617
2024-09-30_17-32-22_0001845,7,2.6845866666666667,2.727253333333333,0.0426666666666668,0.7053053379058838,0.600291596217589,11,624,634
2024-09-30_17-32-22_0001845,8,4.156586666666667,4.16512,0.0085333333333332,0.6088933348655701,0.5571595827738444,3,969,971
2024-09-30_17-32-22_0001845,9,4.212053333333333,4.271786666666666,0.0597333333333329,0.7397205233573914,0.6349907557169596,15,982,996
2024-09-30_17-32-28_0001847,0,1.31072,1.34912,0.0383999999999999,0.8544706106185913,0.8118375360965728,10,302,311
2024-09-30_17-32-28_0001847,1,1.36192,1.4344533333333334,0.0725333333333333,0.6894345879554749,0.5979000098175473,18,314,331
