source_file,mouse_id,population,notes
2024-09-30_11-18-17_0000001.wav,0000001,unknown,
2024-09-30_11-18-27_0000003.wav,0000003,unknown,
2024-09-30_11-18-34_0000004.wav,0000004,unknown,
2024-09-30_11-18-52_0000005.wav,0000005,unknown,
2024-09-30_11-18-57_0000006.wav,0000006,unknown,
2024-09-30_11-19-00_0000007.wav,0000007,unknown,
2024-09-30_11-19-09_0000008.wav,0000008,unknown,
2024-09-30_11-19-12_0000009.wav,0000009,unknown,
2024-09-30_11-19-15_0000010.wav,0000010,unknown,
2024-09-30_11-19-19_0000012.wav,0000012,unknown,
2024-09-30_11-19-31_0000013.wav,0000013,unknown,
2024-09-30_11-19-34_0000014.wav,0000014,unknown,
2024-09-30_11-19-38_0000015.wav,0000015,unknown,
2024-09-30_11-20-03_0000019.wav,0000019,unknown,
2024-09-30_11-20-07_0000020.wav,0000020,unknown,
2024-09-30_11-20-09_0000021.wav,0000021,unknown,
2024-09-30_11-20-14_0000022.wav,0000022,unknown,
2024-09-30_11-20-26_0000023.wav,0000023,unknown,
2024-09-30_11-20-32_0000025.wav,0000025,unknown,
2024-09-30_11-20-35_0000027.wav,0000027,unknown,
2024-09-30_11-20-38_0000028.wav,0000028,unknown,
2024-09-30_11-20-41_0000029.wav,0000029,unknown,
2024-09-30_11-20-45_0000030.wav,0000030,unknown,
2024-09-30_11-20-53_0000032.wav,0000032,unknown,
2024-09-30_11-20-56_0000033.wav,0000033,unknown,
2024-09-30_11-21-01_0000034.wav,0000034,unknown,
2024-09-30_11-21-07_0000035.wav,0000035,unknown,
2024-09-30_11-21-26_0000040.wav,0000040,unknown,
2024-09-30_11-21-30_0000042.wav,0000042,unknown,
2024-09-30_11-21-34_0000043.wav,0000043,unknown,
2024-09-30_11-21-44_0000045.wav,0000045,unknown,
2024-09-30_11-21-48_0000046.wav,0000046,unknown,
2024-09-30_11-21-50_0000047.wav,0000047,unknown,
2024-09-30_11-21-57_0000048.wav,0000048,unknown,
2024-09-30_11-21-58_0000049.wav,0000049,unknown,
2024-09-30_11-22-01_0000050.wav,0000050,unknown,
