wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_11-19-38_0000015,2,0.602453,0.632320,29.87,0.043997,0.038380,deleted_by_user,2026-02-15T23:43:26.752154
2024-09-30_11-19-38_0000015,10,1.745920,1.780053,34.13,0.047840,0.039442,deleted_by_user,2026-02-15T23:43:38.296529
2024-09-30_11-19-38_0000015,13,2.394453,2.437120,42.67,0.078389,0.067033,deleted_by_user,2026-02-15T23:43:44.747916
2024-09-30_11-19-38_0000015,13,2.449920,2.474602,24.68,0.051402,0.038247,deleted_by_user,2026-02-15T23:43:47.165029
2024-09-30_11-19-38_0000015,20,3.921920,3.956053,34.13,0.047017,0.040770,deleted_by_user,2026-02-15T23:44:09.998600
2024-09-30_11-19-38_0000015,21,4.115093,4.135253,20.16,0.043048,0.037617,deleted_by_user,2026-02-15T23:44:13.498644
2024-09-30_11-19-38_0000015,22,4.344320,4.391253,46.93,0.046673,0.040146,deleted_by_user,2026-02-15T23:44:17.063946
2024-09-30_11-19-38_0000015,25,4.873387,4.894720,21.33,0.052344,0.042217,deleted_by_user,2026-02-15T23:44:24.739350
2024-09-30_11-19-38_0000015,31,5.782187,5.803520,21.33,0.051106,0.045963,deleted_by_user,2026-02-15T23:44:35.759467
2024-09-30_11-19-38_0000015,31,6.004053,6.033920,29.87,0.051828,0.043748,deleted_by_user,2026-02-15T23:44:39.535466
2024-09-30_11-19-38_0000015,31,6.166187,6.208853,42.67,0.100474,0.078604,deleted_by_user,2026-02-15T23:44:43.113466
2024-09-30_11-19-38_0000015,31,6.247253,6.285653,38.40,0.067532,0.049347,deleted_by_user,2026-02-15T23:44:45.271491
2024-09-30_11-19-38_0000015,46,8.214187,8.252587,38.40,0.062209,0.051700,deleted_by_user,2026-02-15T23:44:59.629769
2024-09-30_11-19-38_0000015,46,8.269653,8.308053,38.40,0.057374,0.051367,deleted_by_user,2026-02-15T23:45:02.970445
2024-09-30_11-19-38_0000015,47,8.401920,8.440320,38.40,0.054893,0.044016,deleted_by_user,2026-02-15T23:45:06.112552
2024-09-30_11-19-38_0000015,47,8.491520,8.534187,42.67,0.078286,0.054069,deleted_by_user,2026-02-15T23:45:08.289998
2024-09-30_11-19-38_0000015,49,8.875520,8.901120,25.60,0.069010,0.054800,deleted_by_user,2026-02-15T23:45:13.070092
2024-09-30_11-19-38_0000015,49,8.935253,8.973653,38.40,0.055497,0.046058,deleted_by_user,2026-02-15T23:45:15.203091
2024-09-30_11-19-38_0000015,77,12.817920,12.834987,17.07,0.057110,0.045799,deleted_by_user,2026-02-15T23:46:06.942405
2024-09-30_11-19-38_0000015,77,13.061120,13.072727,11.61,0.040591,0.037819,deleted_by_user,2026-02-15T23:46:10.551346
2024-09-30_11-19-38_0000015,84,14.208853,14.221653,12.80,0.061683,0.050420,deleted_by_user,2026-02-15T23:46:28.323909
2024-09-30_11-19-38_0000015,85,14.366720,14.383787,17.07,0.052437,0.046550,deleted_by_user,2026-02-15T23:46:34.225238
2024-09-30_11-19-38_0000015,90,15.514453,15.586987,72.53,0.056939,0.046119,deleted_by_user,2026-02-15T23:46:46.182874
2024-09-30_11-19-38_0000015,90,15.774720,15.812282,37.56,0.061174,0.049617,deleted_by_user,2026-02-15T23:46:48.969228
2024-09-30_11-19-38_0000015,90,15.983787,16.017920,34.13,0.049852,0.046423,deleted_by_user,2026-02-15T23:46:58.034181
