png_path,bucket,chunk_stem,event_idx,sef,duration_ms,verdict,aggregate_hint,reasoning
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0055ms_131205_1400_m4fm4_chunk_180_ev014.png,cleanest,131205_1400_m4fm4_chunk_180,14,0.0,55,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0055ms_131211_1000_m2fm1_chunk_008_ev006.png,cleanest,131211_1000_m2fm1_chunk_008,6,0.0,55,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0064ms_131210_1000_m6fm6_chunk_235_ev000.png,cleanest,131210_1000_m6fm6_chunk_235,0,0.0,64,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0085ms_131205_1400_m3fm3_chunk_173_ev006.png,cleanest,131205_1400_m3fm3_chunk_173,6,0.0,85,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0085ms_131217_1400_m3fm2_chunk_017_ev004.png,cleanest,131217_1400_m3fm2_chunk_017,4,0.0,85,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0102ms_131205_1800_m4fm4_chunk_239_ev007.png,cleanest,131205_1800_m4fm4_chunk_239,7,0.0,102,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0115ms_131210_1000_m2fm4_chunk_050_ev001.png,cleanest,131210_1000_m2fm4_chunk_050,1,0.0,115,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0115ms_131211_1800_m1fm4_chunk_123_ev001.png,cleanest,131211_1800_m1fm4_chunk_123,1,0.0,115,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0119ms_131217_1400_m2fm4_chunk_143_ev001.png,cleanest,131217_1400_m2fm4_chunk_143,1,0.0,119,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0154ms_131208_1000_m6fm6_chunk_041_ev005.png,cleanest,131208_1000_m6fm6_chunk_041,5,0.0,154,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0162ms_131205_1400_m6fm6_chunk_038_ev002.png,cleanest,131205_1400_m6fm6_chunk_038,2,0.0,162,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0179ms_131205_1800_m6fm6_chunk_015_ev000.png,cleanest,131205_1800_m6fm6_chunk_015,0,0.0,179,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0179ms_131208_1000_m5fm5_chunk_183_ev005.png,cleanest,131208_1000_m5fm5_chunk_183,5,0.0,179,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0188ms_131208_1000_m4fm4_chunk_091_ev000.png,cleanest,131208_1000_m4fm4_chunk_091,0,0.0,188,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/cleanest/cleanest_sef0.000_dur0218ms_131208_1400_m6fm6_chunk_040_ev003.png,cleanest,131208_1400_m6fm6_chunk_040,3,0.0,218,USV,15/15 USV (prior handoff),
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.053_dur0068ms_131205_1800_m4fm4_chunk_040_ev000.png,typical,131205_1800_m4fm4_chunk_040,0,0.053,68,NOISE,4 USV / 11 noise (prior handoff),box at 0.65s is noise; chunk has a real USV after 1s but model did not detect it
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.054_dur0171ms_131205_1000_m6fm6_chunk_317_ev000.png,typical,131205_1000_m6fm6_chunk_317,0,0.054,171,NOISE,4 USV / 11 noise (prior handoff),whole picture is noise
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.056_dur0209ms_131211_1800_m5fm5_chunk_151_ev001.png,typical,131211_1800_m5fm5_chunk_151,1,0.056,209,NOISE,4 USV / 11 noise (prior handoff),"broadband transients, not USV-shaped"
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.057_dur0102ms_131217_1400_m3fm2_chunk_090_ev001.png,typical,131217_1400_m3fm2_chunk_090,1,0.057,102,USV,4 USV / 11 noise (prior handoff),"USER CORRECTION: USV inside the box (and another just before, plus more at chunk start)"
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.060_dur0060ms_131208_1000_m2fm2_chunk_173_ev000.png,typical,131208_1000_m2fm2_chunk_173,0,0.06,60,NOISE,4 USV / 11 noise (prior handoff),"zoom confirmed: only 50 kHz noise line + random texture inside box, no coherent USV chirp"
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.060_dur0226ms_131205_1000_m5fm5_chunk_258_ev000.png,typical,131205_1000_m5fm5_chunk_258,0,0.06,226,NOISE,4 USV / 11 noise (prior handoff),whole picture is noise
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.061_dur0090ms_131205_1800_m3fm3_chunk_281_ev000.png,typical,131205_1800_m3fm3_chunk_281,0,0.061,90,NOISE,4 USV / 11 noise (prior handoff),box content noise band + transient; real USVs only after 0.75s
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.061_dur0145ms_131204_1800_m3fm3_chunk_053_ev008.png,typical,131204_1800_m3fm3_chunk_053,8,0.061,145,NOISE,4 USV / 11 noise (prior handoff),"whole chunk noisy, no clear USV inside box"
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.070_dur0098ms_131204_1400_m3fm3_chunk_154_ev000.png,typical,131204_1400_m3fm3_chunk_154,0,0.07,98,USV,4 USV / 11 noise (prior handoff),small ascending chirp inside box; chunk has more USVs after 1.6s
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.074_dur0137ms_131211_1800_m3fm1_chunk_234_ev001.png,typical,131211_1800_m3fm1_chunk_234,1,0.074,137,NOISE,4 USV / 11 noise (prior handoff),broadband clicks elsewhere in chunk; box content not USV-shaped
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.083_dur0107ms_131204_1400_m2fm2_chunk_214_ev000.png,typical,131204_1400_m2fm2_chunk_214,0,0.083,107,NOISE,4 USV / 11 noise (prior handoff),"broadband transient inside box, not curved chirp"
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.092_dur0196ms_131204_1400_m4fm4_chunk_121_ev002.png,typical,131204_1400_m4fm4_chunk_121,2,0.092,196,USV,4 USV / 11 noise (prior handoff),chunk packed with USVs; clear 60-80 kHz USV inside box
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.093_dur0085ms_131205_1000_m2fm2_chunk_056_ev001.png,typical,131205_1000_m2fm2_chunk_056,1,0.093,85,NOISE,4 USV / 11 noise (prior handoff),"noise bands + faint speckle, no coherent chirp"
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.094_dur0162ms_131217_1400_m2fm4_chunk_284_ev002.png,typical,131217_1400_m2fm4_chunk_284,2,0.094,162,USV,4 USV / 11 noise (prior handoff),chunk densely packed with USVs; clear chirps inside box
results/batch_lab_131204_full/audit_2026-05-08/typical/typical_sef0.103_dur0132ms_131211_1800_m6fm6_chunk_163_ev001.png,typical,131211_1800_m6fm6_chunk_163,1,0.103,132,NOISE,4 USV / 11 noise (prior handoff),"noise bands + clicks, no USV inside box"
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.211_dur0222ms_131218_1000_m3fm3_chunk_209_ev000.png,borderline,131218_1000_m3fm3_chunk_209,0,0.211,222,NOISE,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.215_dur0124ms_131204_1800_m6fm6_chunk_027_ev008.png,borderline,131204_1800_m6fm6_chunk_027,8,0.215,124,USV,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.233_dur0218ms_131211_1000_m4fm2_chunk_032_ev011.png,borderline,131211_1000_m4fm2_chunk_032,11,0.233,218,USV,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.242_dur0333ms_131204_1800_m4fm4_chunk_184_ev001.png,borderline,131204_1800_m4fm4_chunk_184,1,0.242,333,USV,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.282_dur1835ms_131209_1000_m6fm6_chunk_183_ev000.png,borderline,131209_1000_m6fm6_chunk_183,0,0.282,1835,NOISE,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.307_dur0222ms_131217_1400_m2fm4_chunk_071_ev000.png,borderline,131217_1400_m2fm4_chunk_071,0,0.307,222,USV,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.315_dur1929ms_131209_1000_m5fm5_chunk_124_ev000.png,borderline,131209_1000_m5fm5_chunk_124,0,0.315,1929,NOISE,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.341_dur0290ms_131208_1000_m5fm5_chunk_171_ev003.png,borderline,131208_1000_m5fm5_chunk_171,3,0.341,290,USV,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.398_dur1954ms_131209_1000_m4fm4_chunk_227_ev000.png,borderline,131209_1000_m4fm4_chunk_227,0,0.398,1954,NOISE,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/borderline/borderline_sef0.477_dur1954ms_131209_1000_m2fm2_chunk_049_ev000.png,borderline,131209_1000_m2fm2_chunk_049,0,0.477,1954,NOISE,5 USV / 5 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.008_dur0717ms_131204_1800_m4fm4_chunk_183_ev009.png,long_event_survivors,131204_1800_m4fm4_chunk_183,9,0.008,717,USV,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.037_dur1079ms_131204_1800_m5fm5_chunk_020_ev000.png,long_event_survivors,131204_1800_m5fm5_chunk_020,0,0.037,1079,USV,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.079_dur0627ms_131211_1800_m3fm1_chunk_191_ev001.png,long_event_survivors,131211_1800_m3fm1_chunk_191,1,0.079,627,USV,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.107_dur1954ms_131211_1800_m4fm2_chunk_311_ev000.png,long_event_survivors,131211_1800_m4fm2_chunk_311,0,0.107,1954,NOISE,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.126_dur1954ms_131209_1000_m1fm1_chunk_020_ev000.png,long_event_survivors,131209_1000_m1fm1_chunk_020,0,0.126,1954,USV,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.180_dur0657ms_131209_1000_m4fm4_chunk_202_ev000.png,long_event_survivors,131209_1000_m4fm4_chunk_202,0,0.18,657,NOISE,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.189_dur0738ms_131209_1000_m3fm3_chunk_191_ev000.png,long_event_survivors,131209_1000_m3fm3_chunk_191,0,0.189,738,NOISE,4 USV / 6 noise (prior handoff),user-dictated (Option B)
results/batch_lab_131204_full/audit_2026-05-08/long_event_survivors/long_event_survivors_sef0.194_dur1387ms_131218_1000_m3fm3_chunk_004_ev000.png,long_event_survivors,131218_1000_m3fm3_chunk_004,0,0.194,1387,NOISE,4 USV / 6 noise (prior handoff),user-dictated (Option B)
