wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_11-20-34_0000026,0,0.110489,0.139498,29.01,0.000000,0.000000,added_manually,2026-02-15T23:57:21.858308
2024-09-30_11-20-34_0000026,1,0.394603,0.431787,37.18,0.052190,0.046373,,2026-02-15T23:57:22.264642
2024-09-30_11-20-34_0000026,2,0.483335,0.518743,35.41,0.000000,0.000000,added_manually,2026-02-15T23:57:22.667644
2024-09-30_11-20-34_0000026,3,0.583159,0.621126,37.97,0.000000,0.000000,added_manually,2026-02-15T23:57:23.077644
2024-09-30_11-20-34_0000026,4,0.687787,0.717653,29.87,0.057193,0.045210,,2026-02-15T23:57:23.454142
2024-09-30_11-20-34_0000026,5,0.868980,0.913772,44.79,0.000000,0.000000,added_manually,2026-02-15T23:57:23.852643
2024-09-30_11-20-34_0000026,6,0.992693,1.018715,26.02,0.000000,0.000000,added_manually,2026-02-15T23:57:24.235167
2024-09-30_11-20-34_0000026,7,1.097209,1.131337,34.13,0.000000,0.000000,added_manually,2026-02-15T23:57:24.620143
2024-09-30_11-20-34_0000026,8,1.342929,1.374071,31.14,0.000000,0.000000,added_manually,2026-02-15T23:57:24.984643
2024-09-30_11-20-34_0000026,9,1.471335,1.515520,44.18,0.053576,0.045362,,2026-02-15T23:57:25.369643
2024-09-30_11-20-34_0000026,10,1.596587,1.642401,45.81,0.055281,0.045564,,2026-02-15T23:57:25.898141
2024-09-30_11-20-34_0000026,11,1.720320,1.746064,25.74,0.044107,0.036230,,2026-02-15T23:57:26.283641
2024-09-30_11-20-34_0000026,12,2.163703,2.195272,31.57,0.000000,0.000000,added_manually,2026-02-15T23:57:26.655431
