wav_file,detection_index,start_time_s,end_time_s,duration_ms,max_prob,mean_prob,user_action,timestamp
2024-09-30_11-26-44_0000120,0,0.880960,0.931300,50.34,0.000000,0.000000,added_manually,2026-02-16T10:41:57.067665
2024-09-30_11-26-44_0000120,1,1.023876,1.100240,76.36,0.062623,0.047260,,2026-02-16T10:41:57.449665
2024-09-30_11-26-44_0000120,2,1.169351,1.212013,42.66,0.045621,0.040343,,2026-02-16T10:41:57.830225
2024-09-30_11-26-44_0000120,3,1.338717,1.417387,78.67,0.084598,0.060596,,2026-02-16T10:41:58.226726
2024-09-30_11-26-44_0000120,4,1.579520,1.650999,71.48,0.063008,0.047966,,2026-02-16T10:41:58.615725
2024-09-30_11-26-44_0000120,5,1.771520,1.809920,38.40,0.089824,0.064000,,2026-02-16T10:41:59.106225
2024-09-30_11-26-44_0000120,6,1.996557,2.036053,39.50,0.044762,0.037922,,2026-02-16T10:41:59.509226
2024-09-30_11-26-44_0000120,7,2.370272,2.437120,66.85,0.048206,0.042165,,2026-02-16T10:41:59.884725
2024-09-30_11-26-44_0000120,8,2.602350,2.637759,35.41,0.000000,0.000000,added_manually,2026-02-16T10:42:00.325225
2024-09-30_11-26-44_0000120,9,2.842453,2.863787,21.33,0.041600,0.036205,,2026-02-16T10:42:00.739229
