candidate_id,final_label,source_file
2024-09-30_11-18-17_0000001_00000788,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00000932,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001014,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001076,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001204,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001332,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001460,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001588,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001716,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00001844,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002042,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002458,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002571,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002766,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002828,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00002973,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003075,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003106,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003200,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003440,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003548,USV,2024-09-30_11-18-17_0000001.wav
2024-09-30_11-18-17_0000001_00003662,USV,2024-09-30_11-18-17_0000001.wav
