Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1075	25000	125000
2	Spectrogram 1	1	0.2697	0.3721	25000	125000
3	Spectrogram 1	1	0.4105	0.4787	25000	125000
4	Spectrogram 1	1	0.5129	0.6238	25000	125000
5	Spectrogram 1	1	0.6451	0.7177	25000	125000
6	Spectrogram 1	1	0.7518	0.8414	25000	125000
7	Spectrogram 1	1	0.867	0.9267	25000	125000
8	Spectrogram 1	1	0.9566	1.0249	25000	125000
9	Spectrogram 1	1	1.0547	1.1315	25000	125000
10	Spectrogram 1	1	1.1699	1.2553	25000	125000
11	Spectrogram 1	1	1.2979	1.4217	25000	125000
12	Spectrogram 1	1	1.4515	1.5241	25000	125000
13	Spectrogram 1	1	1.5625	1.6393	25000	125000
14	Spectrogram 1	1	1.6777	1.763	25000	125000
15	Spectrogram 1	1	1.8014	1.8782	25000	125000
16	Spectrogram 1	1	1.9337	1.9763	25000	125000
