Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0777	25000	125000
2	Spectrogram 1	1	0.099	0.2611	25000	125000
3	Spectrogram 1	1	0.291	0.5086	25000	125000
4	Spectrogram 1	1	0.5171	0.7646	25000	125000
5	Spectrogram 1	1	0.803	0.9779	25000	125000
6	Spectrogram 1	1	1.0035	1.2169	25000	125000
7	Spectrogram 1	1	1.2723	1.4259	25000	125000
8	Spectrogram 1	1	1.4643	1.6649	25000	125000
9	Spectrogram 1	1	1.6777	1.8057	25000	125000
10	Spectrogram 1	1	1.8825	1.9763	25000	125000
