Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0734	25000	125000
2	Spectrogram 1	1	0.1459	0.3977	25000	125000
3	Spectrogram 1	1	0.4659	0.5043	25000	125000
4	Spectrogram 1	1	0.5171	0.5598	25000	125000
5	Spectrogram 1	1	0.6025	0.6963	25000	125000
6	Spectrogram 1	1	0.7646	0.9651	25000	125000
7	Spectrogram 1	1	1.0377	1.1315	25000	125000
8	Spectrogram 1	1	1.1529	1.2041	25000	125000
9	Spectrogram 1	1	1.2211	1.2979	25000	125000
10	Spectrogram 1	1	1.3235	1.3747	25000	125000
11	Spectrogram 1	1	1.3961	1.4473	25000	125000
12	Spectrogram 1	1	1.4899	1.5667	25000	125000
