Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0649	0.1289	25000	125000
2	Spectrogram 1	1	0.1886	0.3593	25000	125000
3	Spectrogram 1	1	0.3721	0.547	25000	125000
4	Spectrogram 1	1	0.5641	0.7006	25000	125000
5	Spectrogram 1	1	0.7262	0.8115	25000	125000
6	Spectrogram 1	1	0.8499	0.9267	25000	125000
7	Spectrogram 1	1	1.2169	1.2766	25000	125000
8	Spectrogram 1	1	1.3107	1.3705	25000	125000
9	Spectrogram 1	1	1.4131	1.4686	25000	125000
10	Spectrogram 1	1	1.5241	1.5795	25000	125000
11	Spectrogram 1	1	1.7246	1.7971	25000	125000
12	Spectrogram 1	1	1.8355	1.9337	25000	125000
