Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0563	25000	125000
2	Spectrogram 1	1	0.6281	0.6665	25000	125000
3	Spectrogram 1	1	0.7987	0.8499	25000	125000
4	Spectrogram 1	1	1.1315	1.1699	25000	125000
5	Spectrogram 1	1	1.2083	1.251	25000	125000
6	Spectrogram 1	1	1.379	1.4387	25000	125000
7	Spectrogram 1	1	1.4686	1.5838	25000	125000
8	Spectrogram 1	1	1.6051	1.7118	25000	125000
9	Spectrogram 1	1	1.7417	1.8227	25000	125000
10	Spectrogram 1	1	1.8526	1.9763	25000	125000
