Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.4062	0.5598	25000	125000
2	Spectrogram 1	1	0.5683	0.675	25000	125000
3	Spectrogram 1	1	0.6835	0.7859	25000	125000
4	Spectrogram 1	1	0.8073	0.9822	25000	125000
5	Spectrogram 1	1	0.995	1.187	25000	125000
6	Spectrogram 1	1	1.2169	1.3833	25000	125000
7	Spectrogram 1	1	1.4131	1.5795	25000	125000
8	Spectrogram 1	1	1.5881	1.6563	25000	125000
9	Spectrogram 1	1	1.6734	1.8782	25000	125000
10	Spectrogram 1	1	1.9038	1.9763	25000	125000
