Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0307	25000	125000
2	Spectrogram 1	1	0.0691	0.163	25000	125000
3	Spectrogram 1	1	0.1971	0.2697	25000	125000
4	Spectrogram 1	1	0.5299	0.6921	25000	125000
5	Spectrogram 1	1	0.7433	0.9182	25000	125000
6	Spectrogram 1	1	0.9737	1.1102	25000	125000
7	Spectrogram 1	1	1.1529	1.2083	25000	125000
8	Spectrogram 1	1	1.2723	1.4302	25000	125000
9	Spectrogram 1	1	1.4814	1.6222	25000	125000
10	Spectrogram 1	1	1.6606	1.7459	25000	125000
11	Spectrogram 1	1	1.9038	1.9763	25000	125000
