Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0307	0.1417	25000	125000
2	Spectrogram 1	1	0.291	0.355	25000	125000
3	Spectrogram 1	1	0.3934	0.483	25000	125000
4	Spectrogram 1	1	0.8329	1.0377	25000	125000
5	Spectrogram 1	1	1.0633	1.1785	25000	125000
6	Spectrogram 1	1	1.2083	1.3107	25000	125000
7	Spectrogram 1	1	1.4302	1.5881	25000	125000
8	Spectrogram 1	1	1.6179	1.7502	25000	125000
9	Spectrogram 1	1	1.7929	1.891	25000	125000
10	Spectrogram 1	1	1.9209	1.9763	25000	125000
