Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0393	25000	125000
2	Spectrogram 1	1	0.0819	0.2099	25000	125000
3	Spectrogram 1	1	0.2313	0.3465	25000	125000
4	Spectrogram 1	1	0.3934	0.5214	25000	125000
5	Spectrogram 1	1	0.5555	0.6579	25000	125000
6	Spectrogram 1	1	0.8073	0.867	25000	125000
7	Spectrogram 1	1	0.9011	0.9651	25000	125000
8	Spectrogram 1	1	1.0547	1.1443	25000	125000
9	Spectrogram 1	1	1.4259	1.4985	25000	125000
10	Spectrogram 1	1	1.5198	1.5667	25000	125000
11	Spectrogram 1	1	1.6393	1.7033	25000	125000
12	Spectrogram 1	1	1.7801	1.8313	25000	125000
13	Spectrogram 1	1	1.8398	1.9763	25000	125000
