Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.3507	0.4617	25000	125000
2	Spectrogram 1	1	0.5897	0.6366	25000	125000
3	Spectrogram 1	1	0.675	0.7262	25000	125000
4	Spectrogram 1	1	0.7859	0.8243	25000	125000
5	Spectrogram 1	1	0.8755	0.9182	25000	125000
6	Spectrogram 1	1	0.9737	1.0206	25000	125000
7	Spectrogram 1	1	1.0718	1.1827	25000	125000
8	Spectrogram 1	1	1.2339	1.3491	25000	125000
9	Spectrogram 1	1	1.3705	1.4217	25000	125000
10	Spectrogram 1	1	1.4771	1.6051	25000	125000
11	Spectrogram 1	1	1.6393	1.7033	25000	125000
12	Spectrogram 1	1	1.7545	1.8099	25000	125000
13	Spectrogram 1	1	1.8611	1.9123	25000	125000
