Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0777	25000	125000
2	Spectrogram 1	1	0.0947	0.2313	25000	125000
3	Spectrogram 1	1	0.2611	0.3379	25000	125000
4	Spectrogram 1	1	0.4233	0.4958	25000	125000
5	Spectrogram 1	1	0.5299	0.6622	25000	125000
6	Spectrogram 1	1	0.6963	0.7475	25000	125000
7	Spectrogram 1	1	0.7945	0.9267	25000	125000
8	Spectrogram 1	1	0.9438	1.0974	25000	125000
9	Spectrogram 1	1	1.1273	1.2766	25000	125000
10	Spectrogram 1	1	1.315	1.379	25000	125000
11	Spectrogram 1	1	1.443	1.5113	25000	125000
12	Spectrogram 1	1	1.6009	1.6563	25000	125000
13	Spectrogram 1	1	1.7843	1.8953	25000	125000
14	Spectrogram 1	1	1.9678	1.9763	25000	125000
