Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0521	25000	125000
2	Spectrogram 1	1	0.0691	0.1459	25000	125000
3	Spectrogram 1	1	0.1715	0.2697	25000	125000
4	Spectrogram 1	1	0.2825	0.3721	25000	125000
5	Spectrogram 1	1	0.4787	0.5342	25000	125000
6	Spectrogram 1	1	0.5854	0.6281	25000	125000
7	Spectrogram 1	1	0.7774	0.8158	25000	125000
8	Spectrogram 1	1	0.8883	0.9395	25000	125000
9	Spectrogram 1	1	1.0291	1.0889	25000	125000
10	Spectrogram 1	1	1.1315	1.2851	25000	125000
11	Spectrogram 1	1	1.3321	1.4558	25000	125000
12	Spectrogram 1	1	1.4942	1.6009	25000	125000
13	Spectrogram 1	1	1.7203	1.7843	25000	125000
14	Spectrogram 1	1	1.8483	1.8995	25000	125000
