Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0905	25000	125000
2	Spectrogram 1	1	0.1075	0.163	25000	125000
3	Spectrogram 1	1	0.2057	0.3337	25000	125000
4	Spectrogram 1	1	0.355	0.4318	25000	125000
5	Spectrogram 1	1	0.4617	0.5385	25000	125000
6	Spectrogram 1	1	0.5683	0.6579	25000	125000
7	Spectrogram 1	1	0.6878	0.7518	25000	125000
8	Spectrogram 1	1	0.7817	0.8499	25000	125000
9	Spectrogram 1	1	1.2681	1.315	25000	125000
10	Spectrogram 1	1	1.3534	1.4003	25000	125000
11	Spectrogram 1	1	1.5326	1.5923	25000	125000
12	Spectrogram 1	1	1.6393	1.6947	25000	125000
13	Spectrogram 1	1	1.7417	1.827	25000	125000
14	Spectrogram 1	1	1.8654	1.9337	25000	125000
