Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0606	0.1033	25000	125000
2	Spectrogram 1	1	0.1843	0.4233	25000	125000
3	Spectrogram 1	1	0.4489	0.4958	25000	125000
4	Spectrogram 1	1	0.7646	0.9737	25000	125000
5	Spectrogram 1	1	0.995	1.0761	25000	125000
6	Spectrogram 1	1	1.1059	1.1742	25000	125000
7	Spectrogram 1	1	1.2083	1.2723	25000	125000
8	Spectrogram 1	1	1.3449	1.3833	25000	125000
9	Spectrogram 1	1	1.4345	1.5027	25000	125000
10	Spectrogram 1	1	1.7374	1.7971	25000	125000
11	Spectrogram 1	1	1.8483	1.8995	25000	125000
12	Spectrogram 1	1	1.9465	1.9763	25000	125000
