Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.2014	25000	125000
2	Spectrogram 1	1	0.227	0.4147	25000	125000
3	Spectrogram 1	1	0.4489	0.611	25000	125000
4	Spectrogram 1	1	0.6451	0.7987	25000	125000
5	Spectrogram 1	1	0.8115	0.8755	25000	125000
6	Spectrogram 1	1	0.9011	0.9779	25000	125000
7	Spectrogram 1	1	1.2211	1.2851	25000	125000
8	Spectrogram 1	1	1.2979	1.4217	25000	125000
9	Spectrogram 1	1	1.4302	1.4899	25000	125000
10	Spectrogram 1	1	1.5241	1.7075	25000	125000
11	Spectrogram 1	1	1.7331	1.9379	25000	125000
