Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0563	25000	125000
2	Spectrogram 1	1	0.0649	0.2014	25000	125000
3	Spectrogram 1	1	0.2142	0.2782	25000	125000
4	Spectrogram 1	1	0.3038	0.3721	25000	125000
5	Spectrogram 1	1	0.4019	0.4574	25000	125000
6	Spectrogram 1	1	0.5043	0.5598	25000	125000
7	Spectrogram 1	1	0.611	0.675	25000	125000
8	Spectrogram 1	1	0.7177	0.7689	25000	125000
9	Spectrogram 1	1	0.8286	0.8926	25000	125000
10	Spectrogram 1	1	0.931	1.0505	25000	125000
11	Spectrogram 1	1	1.0718	1.1358	25000	125000
12	Spectrogram 1	1	1.1998	1.4089	25000	125000
13	Spectrogram 1	1	1.4814	1.6265	25000	125000
14	Spectrogram 1	1	1.6691	1.8739	25000	125000
15	Spectrogram 1	1	1.8995	1.9763	25000	125000
