Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1971	25000	125000
2	Spectrogram 1	1	0.2185	0.3507	25000	125000
3	Spectrogram 1	1	0.3806	0.4403	25000	125000
4	Spectrogram 1	1	0.4787	0.6153	25000	125000
5	Spectrogram 1	1	0.7475	0.8883	25000	125000
6	Spectrogram 1	1	0.9097	1.0505	25000	125000
7	Spectrogram 1	1	1.0803	1.2211	25000	125000
8	Spectrogram 1	1	1.2425	1.3534	25000	125000
9	Spectrogram 1	1	1.3705	1.5411	25000	125000
10	Spectrogram 1	1	1.5539	1.7374	25000	125000
11	Spectrogram 1	1	1.7715	1.9465	25000	125000
