Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.1246	25000	125000
2	Spectrogram 1	1	0.1801	0.3465	25000	125000
3	Spectrogram 1	1	0.3763	0.4787	25000	125000
4	Spectrogram 1	1	0.5129	0.6323	25000	125000
5	Spectrogram 1	1	0.6579	0.7859	25000	125000
6	Spectrogram 1	1	0.8073	0.9395	25000	125000
7	Spectrogram 1	1	0.9566	1.0846	25000	125000
8	Spectrogram 1	1	1.1059	1.2809	25000	125000
9	Spectrogram 1	1	1.3022	1.3833	25000	125000
10	Spectrogram 1	1	1.4217	1.5625	25000	125000
11	Spectrogram 1	1	1.5881	1.6734	25000	125000
12	Spectrogram 1	1	1.7033	1.7843	25000	125000
13	Spectrogram 1	1	1.8099	1.8995	25000	125000
14	Spectrogram 1	1	1.9209	1.9763	25000	125000
