Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.227	25000	125000
2	Spectrogram 1	1	0.2611	0.4531	25000	125000
3	Spectrogram 1	1	0.4915	0.6622	25000	125000
4	Spectrogram 1	1	0.6793	0.8371	25000	125000
5	Spectrogram 1	1	0.8713	0.9566	25000	125000
6	Spectrogram 1	1	0.9993	1.1998	25000	125000
7	Spectrogram 1	1	1.2297	1.3875	25000	125000
8	Spectrogram 1	1	1.4089	1.6051	25000	125000
9	Spectrogram 1	1	1.6222	1.8014	25000	125000
10	Spectrogram 1	1	1.8227	1.9763	25000	125000
