Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0435	0.1075	25000	125000
2	Spectrogram 1	1	0.1374	0.2099	25000	125000
3	Spectrogram 1	1	0.2313	0.4062	25000	125000
4	Spectrogram 1	1	0.4275	0.5811	25000	125000
5	Spectrogram 1	1	0.611	0.7561	25000	125000
6	Spectrogram 1	1	0.7902	0.8841	25000	125000
7	Spectrogram 1	1	0.9011	0.9779	25000	125000
8	Spectrogram 1	1	1.0974	1.1955	25000	125000
9	Spectrogram 1	1	1.2254	1.2894	25000	125000
10	Spectrogram 1	1	1.3193	1.3833	25000	125000
11	Spectrogram 1	1	1.4089	1.4857	25000	125000
12	Spectrogram 1	1	1.5198	1.6563	25000	125000
13	Spectrogram 1	1	1.6734	1.7843	25000	125000
14	Spectrogram 1	1	1.9507	1.9763	25000	125000
