Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0521	25000	125000
2	Spectrogram 1	1	0.0947	0.1673	25000	125000
3	Spectrogram 1	1	0.2185	0.3209	25000	125000
4	Spectrogram 1	1	0.4361	0.5129	25000	125000
5	Spectrogram 1	1	0.5513	0.6409	25000	125000
6	Spectrogram 1	1	0.6707	0.739	25000	125000
7	Spectrogram 1	1	0.7817	0.8841	25000	125000
8	Spectrogram 1	1	0.9139	0.9609	25000	125000
9	Spectrogram 1	1	1.1059	1.2681	25000	125000
10	Spectrogram 1	1	1.2851	1.4515	25000	125000
11	Spectrogram 1	1	1.4857	1.5667	25000	125000
12	Spectrogram 1	1	1.6009	1.8099	25000	125000
13	Spectrogram 1	1	1.8526	1.9763	25000	125000
