Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.2483	25000	125000
2	Spectrogram 1	1	0.2739	0.3891	25000	125000
3	Spectrogram 1	1	0.4147	0.5726	25000	125000
4	Spectrogram 1	1	0.6025	0.7603	25000	125000
5	Spectrogram 1	1	0.7817	0.9566	25000	125000
6	Spectrogram 1	1	0.9865	1.1699	25000	125000
7	Spectrogram 1	1	1.187	1.3235	25000	125000
8	Spectrogram 1	1	1.3449	1.5667	25000	125000
9	Spectrogram 1	1	1.5838	1.7673	25000	125000
10	Spectrogram 1	1	1.7971	1.9507	25000	125000
