Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0862	25000	125000
2	Spectrogram 1	1	0.1459	0.3038	25000	125000
3	Spectrogram 1	1	0.3635	0.4105	25000	125000
4	Spectrogram 1	1	0.4275	0.5726	25000	125000
5	Spectrogram 1	1	0.7006	0.9267	25000	125000
6	Spectrogram 1	1	1.0206	1.1955	25000	125000
7	Spectrogram 1	1	1.2723	1.4729	25000	125000
8	Spectrogram 1	1	1.5113	1.6307	25000	125000
9	Spectrogram 1	1	1.6606	1.8313	25000	125000
10	Spectrogram 1	1	1.8483	1.9763	25000	125000
