Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0947	25000	125000
2	Spectrogram 1	1	0.1161	0.2526	25000	125000
3	Spectrogram 1	1	0.2782	0.3209	25000	125000
4	Spectrogram 1	1	0.3593	0.4489	25000	125000
5	Spectrogram 1	1	0.4659	0.5257	25000	125000
6	Spectrogram 1	1	0.5598	0.611	25000	125000
7	Spectrogram 1	1	0.6409	0.6921	25000	125000
8	Spectrogram 1	1	0.8457	0.9054	25000	125000
9	Spectrogram 1	1	0.9438	0.9907	25000	125000
10	Spectrogram 1	1	1.0419	1.0931	25000	125000
11	Spectrogram 1	1	1.1315	1.1913	25000	125000
12	Spectrogram 1	1	1.4558	1.5838	25000	125000
13	Spectrogram 1	1	1.6222	1.7886	25000	125000
14	Spectrogram 1	1	1.9166	1.9507	25000	125000
