Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0819	25000	125000
2	Spectrogram 1	1	0.0947	0.1459	25000	125000
3	Spectrogram 1	1	0.1929	0.2953	25000	125000
4	Spectrogram 1	1	0.3294	0.3891	25000	125000
5	Spectrogram 1	1	0.4574	0.4915	25000	125000
6	Spectrogram 1	1	0.5811	0.7646	25000	125000
7	Spectrogram 1	1	0.8158	0.9267	25000	125000
8	Spectrogram 1	1	0.9481	1.0675	25000	125000
9	Spectrogram 1	1	1.0931	1.1827	25000	125000
10	Spectrogram 1	1	1.2126	1.2809	25000	125000
11	Spectrogram 1	1	1.3193	1.4259	25000	125000
12	Spectrogram 1	1	1.4473	1.507	25000	125000
