Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1502	25000	125000
2	Spectrogram 1	1	0.1801	0.2697	25000	125000
3	Spectrogram 1	1	0.483	0.5726	25000	125000
4	Spectrogram 1	1	0.5939	0.7262	25000	125000
5	Spectrogram 1	1	0.7518	0.8755	25000	125000
6	Spectrogram 1	1	0.9097	1.0206	25000	125000
7	Spectrogram 1	1	1.0505	1.187	25000	125000
8	Spectrogram 1	1	1.2126	1.2851	25000	125000
9	Spectrogram 1	1	1.315	1.379	25000	125000
10	Spectrogram 1	1	1.4131	1.5155	25000	125000
11	Spectrogram 1	1	1.5454	1.635	25000	125000
12	Spectrogram 1	1	1.6606	1.7673	25000	125000
13	Spectrogram 1	1	1.7843	1.8569	25000	125000
14	Spectrogram 1	1	1.891	1.9507	25000	125000
