Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0691	0.1801	25000	125000
2	Spectrogram 1	1	0.2057	0.3251	25000	125000
3	Spectrogram 1	1	0.3422	0.4702	25000	125000
4	Spectrogram 1	1	0.4958	0.6153	25000	125000
5	Spectrogram 1	1	0.6451	0.7817	25000	125000
6	Spectrogram 1	1	0.8158	0.9609	25000	125000
7	Spectrogram 1	1	0.995	1.0675	25000	125000
8	Spectrogram 1	1	1.1017	1.2254	25000	125000
9	Spectrogram 1	1	1.2595	1.3235	25000	125000
10	Spectrogram 1	1	1.3662	1.443	25000	125000
11	Spectrogram 1	1	1.4942	1.6265	25000	125000
12	Spectrogram 1	1	1.6606	1.8099	25000	125000
13	Spectrogram 1	1	1.8483	1.9763	25000	125000
