Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0478	0.1161	25000	125000
2	Spectrogram 1	1	0.3038	0.355	25000	125000
3	Spectrogram 1	1	0.4147	0.5811	25000	125000
4	Spectrogram 1	1	0.6153	0.7561	25000	125000
5	Spectrogram 1	1	0.7859	0.931	25000	125000
6	Spectrogram 1	1	0.9609	1.0761	25000	125000
7	Spectrogram 1	1	1.123	1.2595	25000	125000
8	Spectrogram 1	1	1.3065	1.4857	25000	125000
9	Spectrogram 1	1	1.5369	1.699	25000	125000
10	Spectrogram 1	1	1.7502	1.8441	25000	125000
11	Spectrogram 1	1	1.8739	1.9763	25000	125000
