Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0563	0.2526	25000	125000
2	Spectrogram 1	1	0.2953	0.3849	25000	125000
3	Spectrogram 1	1	0.5043	0.5427	25000	125000
4	Spectrogram 1	1	0.5897	0.6494	25000	125000
5	Spectrogram 1	1	0.6793	0.7603	25000	125000
6	Spectrogram 1	1	0.7817	0.8414	25000	125000
7	Spectrogram 1	1	0.8713	0.9737	25000	125000
8	Spectrogram 1	1	1.0035	1.0718	25000	125000
9	Spectrogram 1	1	1.0931	1.1529	25000	125000
10	Spectrogram 1	1	1.1998	1.2681	25000	125000
11	Spectrogram 1	1	1.2851	1.3619	25000	125000
12	Spectrogram 1	1	1.4899	1.5838	25000	125000
13	Spectrogram 1	1	1.6051	1.7971	25000	125000
