Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0563	25000	125000
2	Spectrogram 1	1	0.0862	0.1545	25000	125000
3	Spectrogram 1	1	0.1886	0.2825	25000	125000
4	Spectrogram 1	1	0.3038	0.4361	25000	125000
5	Spectrogram 1	1	0.483	0.5299	25000	125000
6	Spectrogram 1	1	0.5897	0.6579	25000	125000
7	Spectrogram 1	1	0.7177	0.8073	25000	125000
8	Spectrogram 1	1	1.0633	1.1273	25000	125000
9	Spectrogram 1	1	1.1614	1.2339	25000	125000
10	Spectrogram 1	1	1.2595	1.3406	25000	125000
11	Spectrogram 1	1	1.635	1.7374	25000	125000
12	Spectrogram 1	1	1.7673	1.8313	25000	125000
