Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0563	25000	125000
2	Spectrogram 1	1	0.1118	0.2825	25000	125000
3	Spectrogram 1	1	0.3081	0.4403	25000	125000
4	Spectrogram 1	1	0.4787	0.6067	25000	125000
5	Spectrogram 1	1	0.6451	0.6835	25000	125000
6	Spectrogram 1	1	0.7433	0.7945	25000	125000
7	Spectrogram 1	1	0.8841	0.931	25000	125000
8	Spectrogram 1	1	1.0035	1.0505	25000	125000
9	Spectrogram 1	1	1.0718	1.1614	25000	125000
10	Spectrogram 1	1	1.1913	1.315	25000	125000
11	Spectrogram 1	1	1.3406	1.4217	25000	125000
12	Spectrogram 1	1	1.4643	1.5198	25000	125000
13	Spectrogram 1	1	1.6819	1.7374	25000	125000
14	Spectrogram 1	1	1.7929	1.8313	25000	125000
15	Spectrogram 1	1	1.891	1.9678	25000	125000
