Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0265	0.0819	25000	125000
2	Spectrogram 1	1	0.1374	0.1929	25000	125000
3	Spectrogram 1	1	0.2483	0.291	25000	125000
4	Spectrogram 1	1	0.8457	0.9225	25000	125000
5	Spectrogram 1	1	1.1699	1.2126	25000	125000
6	Spectrogram 1	1	1.2809	1.3235	25000	125000
7	Spectrogram 1	1	1.4729	1.5795	25000	125000
8	Spectrogram 1	1	1.6222	1.6734	25000	125000
9	Spectrogram 1	1	1.7203	1.763	25000	125000
10	Spectrogram 1	1	1.8227	1.8697	25000	125000
