Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.2782	0.3209	25000	125000
2	Spectrogram 1	1	0.3721	0.4233	25000	125000
3	Spectrogram 1	1	0.4873	0.5299	25000	125000
4	Spectrogram 1	1	0.5854	0.6451	25000	125000
5	Spectrogram 1	1	0.7134	0.7859	25000	125000
6	Spectrogram 1	1	0.931	0.9993	25000	125000
7	Spectrogram 1	1	1.2041	1.2425	25000	125000
8	Spectrogram 1	1	1.3193	1.3619	25000	125000
9	Spectrogram 1	1	1.4302	1.5411	25000	125000
10	Spectrogram 1	1	1.571	1.7118	25000	125000
11	Spectrogram 1	1	1.7587	1.8014	25000	125000
12	Spectrogram 1	1	1.8697	1.9251	25000	125000
