Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.2355	0.3081	25000	125000
2	Spectrogram 1	1	0.4446	0.5811	25000	125000
3	Spectrogram 1	1	0.6153	0.803	25000	125000
4	Spectrogram 1	1	0.8841	0.9694	25000	125000
5	Spectrogram 1	1	1.0078	1.0761	25000	125000
6	Spectrogram 1	1	1.123	1.1955	25000	125000
7	Spectrogram 1	1	1.2254	1.2894	25000	125000
8	Spectrogram 1	1	1.3278	1.4046	25000	125000
9	Spectrogram 1	1	1.5326	1.5881	25000	125000
10	Spectrogram 1	1	1.7289	1.8057	25000	125000
11	Spectrogram 1	1	1.8995	1.9763	25000	125000
