Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0478	25000	125000
2	Spectrogram 1	1	0.0819	0.3507	25000	125000
3	Spectrogram 1	1	0.3806	0.4787	25000	125000
4	Spectrogram 1	1	0.6409	0.7049	25000	125000
5	Spectrogram 1	1	0.7603	0.9054	25000	125000
6	Spectrogram 1	1	0.9481	1.1187	25000	125000
7	Spectrogram 1	1	1.1401	1.2894	25000	125000
8	Spectrogram 1	1	1.315	1.4387	25000	125000
9	Spectrogram 1	1	1.4515	1.6222	25000	125000
10	Spectrogram 1	1	1.6478	1.7331	25000	125000
11	Spectrogram 1	1	1.8099	1.8569	25000	125000
12	Spectrogram 1	1	1.9166	1.9635	25000	125000
