Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0905	25000	125000
2	Spectrogram 1	1	0.1118	0.2697	25000	125000
3	Spectrogram 1	1	0.2867	0.3763	25000	125000
4	Spectrogram 1	1	0.3934	0.6025	25000	125000
5	Spectrogram 1	1	0.6153	0.7731	25000	125000
6	Spectrogram 1	1	0.7859	0.9097	25000	125000
7	Spectrogram 1	1	0.931	1.0334	25000	125000
8	Spectrogram 1	1	1.0547	1.1358	25000	125000
9	Spectrogram 1	1	1.1529	1.2297	25000	125000
10	Spectrogram 1	1	1.2723	1.3363	25000	125000
11	Spectrogram 1	1	1.3662	1.4345	25000	125000
12	Spectrogram 1	1	1.4729	1.7417	25000	125000
13	Spectrogram 1	1	1.7587	1.8227	25000	125000
