Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0478	0.1459	25000	125000
2	Spectrogram 1	1	0.1929	0.3166	25000	125000
3	Spectrogram 1	1	0.3593	0.4617	25000	125000
4	Spectrogram 1	1	0.7219	0.7945	25000	125000
5	Spectrogram 1	1	0.8329	0.9097	25000	125000
6	Spectrogram 1	1	0.9481	1.0974	25000	125000
7	Spectrogram 1	1	1.123	1.2041	25000	125000
8	Spectrogram 1	1	1.2425	1.3235	25000	125000
9	Spectrogram 1	1	1.3619	1.4302	25000	125000
10	Spectrogram 1	1	1.4814	1.5497	25000	125000
11	Spectrogram 1	1	1.5966	1.6691	25000	125000
12	Spectrogram 1	1	1.7118	1.763	25000	125000
13	Spectrogram 1	1	1.8099	1.891	25000	125000
14	Spectrogram 1	1	1.9251	1.9678	25000	125000
