Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0521	25000	125000
2	Spectrogram 1	1	0.3763	0.4361	25000	125000
3	Spectrogram 1	1	0.4745	0.5385	25000	125000
4	Spectrogram 1	1	0.5769	0.6409	25000	125000
5	Spectrogram 1	1	0.675	0.7859	25000	125000
6	Spectrogram 1	1	0.803	0.8926	25000	125000
7	Spectrogram 1	1	0.9182	0.9609	25000	125000
8	Spectrogram 1	1	1.0078	1.0718	25000	125000
9	Spectrogram 1	1	1.1059	1.1529	25000	125000
10	Spectrogram 1	1	1.1955	1.2681	25000	125000
11	Spectrogram 1	1	1.3065	1.3577	25000	125000
12	Spectrogram 1	1	1.4089	1.4643	25000	125000
13	Spectrogram 1	1	1.7033	1.7502	25000	125000
14	Spectrogram 1	1	1.7971	1.8782	25000	125000
15	Spectrogram 1	1	1.9038	1.9763	25000	125000
