Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0862	0.163	25000	125000
2	Spectrogram 1	1	0.2825	0.4446	25000	125000
3	Spectrogram 1	1	0.4574	0.6153	25000	125000
4	Spectrogram 1	1	0.7561	0.9139	25000	125000
5	Spectrogram 1	1	0.9566	1.0121	25000	125000
6	Spectrogram 1	1	1.0675	1.1486	25000	125000
7	Spectrogram 1	1	1.1699	1.2979	25000	125000
8	Spectrogram 1	1	1.3321	1.4686	25000	125000
9	Spectrogram 1	1	1.4857	1.571	25000	125000
10	Spectrogram 1	1	1.5881	1.699	25000	125000
11	Spectrogram 1	1	1.7843	1.8398	25000	125000
12	Spectrogram 1	1	1.9038	1.9763	25000	125000
