Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0819	25000	125000
2	Spectrogram 1	1	0.1203	0.227	25000	125000
3	Spectrogram 1	1	0.2611	0.4019	25000	125000
4	Spectrogram 1	1	0.4275	0.4915	25000	125000
5	Spectrogram 1	1	0.5299	0.6409	25000	125000
6	Spectrogram 1	1	0.6707	0.7561	25000	125000
7	Spectrogram 1	1	0.803	0.8627	25000	125000
8	Spectrogram 1	1	1.0078	1.0846	25000	125000
9	Spectrogram 1	1	1.1273	1.2041	25000	125000
10	Spectrogram 1	1	1.2467	1.3107	25000	125000
11	Spectrogram 1	1	1.3577	1.4259	25000	125000
12	Spectrogram 1	1	1.4558	1.5667	25000	125000
13	Spectrogram 1	1	1.5923	1.6777	25000	125000
14	Spectrogram 1	1	1.7075	1.8227	25000	125000
15	Spectrogram 1	1	1.8569	1.9209	25000	125000
