Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0435	25000	125000
2	Spectrogram 1	1	0.0947	0.1502	25000	125000
3	Spectrogram 1	1	0.2398	0.4233	25000	125000
4	Spectrogram 1	1	0.4361	0.5726	25000	125000
5	Spectrogram 1	1	0.5897	0.7006	25000	125000
6	Spectrogram 1	1	0.7262	0.8329	25000	125000
7	Spectrogram 1	1	0.8798	0.9353	25000	125000
8	Spectrogram 1	1	0.995	1.0419	25000	125000
9	Spectrogram 1	1	1.4814	1.5369	25000	125000
10	Spectrogram 1	1	1.5795	1.6521	25000	125000
