Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.1033	0.1673	25000	125000
2	Spectrogram 1	1	0.2099	0.2739	25000	125000
3	Spectrogram 1	1	0.3294	0.3849	25000	125000
4	Spectrogram 1	1	0.419	0.4745	25000	125000
5	Spectrogram 1	1	0.5129	0.5811	25000	125000
6	Spectrogram 1	1	0.6153	0.6963	25000	125000
7	Spectrogram 1	1	0.8329	0.9139	25000	125000
8	Spectrogram 1	1	0.9523	0.9907	25000	125000
9	Spectrogram 1	1	1.0505	1.1145	25000	125000
10	Spectrogram 1	1	1.1529	1.2126	25000	125000
11	Spectrogram 1	1	1.3449	1.4046	25000	125000
12	Spectrogram 1	1	1.4387	1.5241	25000	125000
13	Spectrogram 1	1	1.9593	1.9763	25000	125000
