Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0435	0.1033	25000	125000
2	Spectrogram 1	1	0.4531	0.5001	25000	125000
3	Spectrogram 1	1	0.5598	0.6707	25000	125000
4	Spectrogram 1	1	0.7091	0.7646	25000	125000
5	Spectrogram 1	1	0.8158	0.8713	25000	125000
6	Spectrogram 1	1	0.9267	1.0035	25000	125000
7	Spectrogram 1	1	1.0547	1.2041	25000	125000
8	Spectrogram 1	1	1.2382	1.3193	25000	125000
9	Spectrogram 1	1	1.379	1.4387	25000	125000
10	Spectrogram 1	1	1.4814	1.5283	25000	125000
11	Spectrogram 1	1	1.571	1.6478	25000	125000
12	Spectrogram 1	1	1.6905	1.7502	25000	125000
13	Spectrogram 1	1	1.9678	1.9763	25000	125000
