Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1587	25000	125000
2	Spectrogram 1	1	0.2099	0.2782	25000	125000
3	Spectrogram 1	1	0.5129	0.5683	25000	125000
4	Spectrogram 1	1	0.6579	0.8073	25000	125000
5	Spectrogram 1	1	0.8457	1.0419	25000	125000
6	Spectrogram 1	1	1.0931	1.2382	25000	125000
7	Spectrogram 1	1	1.2766	1.3662	25000	125000
8	Spectrogram 1	1	1.507	1.635	25000	125000
9	Spectrogram 1	1	1.6649	1.7886	25000	125000
10	Spectrogram 1	1	1.8355	1.9593	25000	125000
