Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.8243	0.8713	25000	125000
2	Spectrogram 1	1	1.0035	1.0462	25000	125000
3	Spectrogram 1	1	1.1059	1.2126	25000	125000
4	Spectrogram 1	1	1.2297	1.3022	25000	125000
5	Spectrogram 1	1	1.3193	1.4345	25000	125000
6	Spectrogram 1	1	1.4558	1.5838	25000	125000
7	Spectrogram 1	1	1.6009	1.7203	25000	125000
8	Spectrogram 1	1	1.7374	1.8185	25000	125000
9	Spectrogram 1	1	1.8441	1.9251	25000	125000
10	Spectrogram 1	1	1.9593	1.9763	25000	125000
