Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0862	25000	125000
2	Spectrogram 1	1	0.099	0.2057	25000	125000
3	Spectrogram 1	1	0.227	0.3038	25000	125000
4	Spectrogram 1	1	0.3337	0.4318	25000	125000
5	Spectrogram 1	1	0.4446	0.5427	25000	125000
6	Spectrogram 1	1	0.5726	0.6366	25000	125000
7	Spectrogram 1	1	0.6665	0.7987	25000	125000
8	Spectrogram 1	1	0.8073	0.9011	25000	125000
9	Spectrogram 1	1	0.9225	1.0846	25000	125000
10	Spectrogram 1	1	1.1017	1.2339	25000	125000
11	Spectrogram 1	1	1.2425	1.3278	25000	125000
12	Spectrogram 1	1	1.3577	1.4046	25000	125000
13	Spectrogram 1	1	1.6137	1.6777	25000	125000
14	Spectrogram 1	1	1.7929	1.8569	25000	125000
15	Spectrogram 1	1	1.891	1.9465	25000	125000
