Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1246	25000	125000
2	Spectrogram 1	1	0.1715	0.4659	25000	125000
3	Spectrogram 1	1	0.5257	0.7006	25000	125000
4	Spectrogram 1	1	0.7177	0.9225	25000	125000
5	Spectrogram 1	1	0.9651	1.0462	25000	125000
6	Spectrogram 1	1	1.0675	1.251	25000	125000
7	Spectrogram 1	1	1.2809	1.4686	25000	125000
8	Spectrogram 1	1	1.4857	1.6179	25000	125000
9	Spectrogram 1	1	1.6649	1.7929	25000	125000
10	Spectrogram 1	1	1.8142	1.9763	25000	125000
