Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0734	25000	125000
2	Spectrogram 1	1	0.291	0.3422	25000	125000
3	Spectrogram 1	1	0.3891	0.4361	25000	125000
4	Spectrogram 1	1	0.4915	0.547	25000	125000
5	Spectrogram 1	1	0.5939	0.6537	25000	125000
6	Spectrogram 1	1	0.6963	0.8073	25000	125000
7	Spectrogram 1	1	0.8243	0.8969	25000	125000
8	Spectrogram 1	1	0.9267	0.9907	25000	125000
9	Spectrogram 1	1	1.0206	1.0761	25000	125000
10	Spectrogram 1	1	1.1059	1.1742	25000	125000
11	Spectrogram 1	1	1.1955	1.3022	25000	125000
12	Spectrogram 1	1	1.3235	1.4345	25000	125000
13	Spectrogram 1	1	1.4515	1.6179	25000	125000
14	Spectrogram 1	1	1.635	1.7118	25000	125000
15	Spectrogram 1	1	1.7289	1.8569	25000	125000
16	Spectrogram 1	1	1.8782	1.9763	25000	125000
