Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.0307	25000	125000
2	Spectrogram 1	1	0.0905	0.1331	25000	125000
3	Spectrogram 1	1	0.1502	0.2526	25000	125000
4	Spectrogram 1	1	0.2867	0.4318	25000	125000
5	Spectrogram 1	1	0.4745	0.5598	25000	125000
6	Spectrogram 1	1	0.7305	0.8073	25000	125000
7	Spectrogram 1	1	0.8713	1.0035	25000	125000
8	Spectrogram 1	1	1.0334	1.123	25000	125000
9	Spectrogram 1	1	1.2297	1.3193	25000	125000
10	Spectrogram 1	1	1.3534	1.4345	25000	125000
11	Spectrogram 1	1	1.4729	1.5497	25000	125000
12	Spectrogram 1	1	1.5838	1.6649	25000	125000
13	Spectrogram 1	1	1.7033	1.7886	25000	125000
14	Spectrogram 1	1	1.8654	1.9763	25000	125000
