Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1417	25000	125000
2	Spectrogram 1	1	0.1587	0.2995	25000	125000
3	Spectrogram 1	1	0.3166	0.5299	25000	125000
4	Spectrogram 1	1	0.5982	0.7603	25000	125000
5	Spectrogram 1	1	0.7859	0.8883	25000	125000
6	Spectrogram 1	1	0.9182	1.0462	25000	125000
7	Spectrogram 1	1	1.0675	1.2169	25000	125000
8	Spectrogram 1	1	1.2297	1.3833	25000	125000
9	Spectrogram 1	1	1.4003	1.5283	25000	125000
10	Spectrogram 1	1	1.5497	1.6563	25000	125000
11	Spectrogram 1	1	1.6649	1.7673	25000	125000
12	Spectrogram 1	1	1.7758	1.8611	25000	125000
13	Spectrogram 1	1	1.8739	1.9294	25000	125000
