Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1715	25000	125000
2	Spectrogram 1	1	0.2185	0.2654	25000	125000
3	Spectrogram 1	1	0.2995	0.3934	25000	125000
4	Spectrogram 1	1	0.4275	0.4702	25000	125000
5	Spectrogram 1	1	0.5299	0.6281	25000	125000
6	Spectrogram 1	1	0.6622	0.7305	25000	125000
7	Spectrogram 1	1	0.7603	0.8158	25000	125000
8	Spectrogram 1	1	1.1913	1.251	25000	125000
9	Spectrogram 1	1	1.4985	1.5667	25000	125000
10	Spectrogram 1	1	1.6179	1.8014	25000	125000
11	Spectrogram 1	1	1.8398	1.9763	25000	125000
