Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.2355	0.2782	25000	125000
2	Spectrogram 1	1	0.3209	0.4019	25000	125000
3	Spectrogram 1	1	0.4489	0.5342	25000	125000
4	Spectrogram 1	1	0.5811	0.6494	25000	125000
5	Spectrogram 1	1	0.7817	0.8286	25000	125000
6	Spectrogram 1	1	0.8713	0.9225	25000	125000
7	Spectrogram 1	1	1.059	1.1102	25000	125000
8	Spectrogram 1	1	1.2382	1.3065	25000	125000
9	Spectrogram 1	1	1.3449	1.4601	25000	125000
10	Spectrogram 1	1	1.4814	1.5838	25000	125000
11	Spectrogram 1	1	1.6137	1.7374	25000	125000
12	Spectrogram 1	1	1.763	1.8483	25000	125000
13	Spectrogram 1	1	1.8739	1.9763	25000	125000
