Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.0222	0.1161	25000	125000
2	Spectrogram 1	1	0.1758	0.2526	25000	125000
3	Spectrogram 1	1	0.3422	0.5086	25000	125000
4	Spectrogram 1	1	0.5598	0.7475	25000	125000
5	Spectrogram 1	1	0.7859	0.8798	25000	125000
6	Spectrogram 1	1	0.9481	1.0931	25000	125000
7	Spectrogram 1	1	1.1486	1.3193	25000	125000
8	Spectrogram 1	1	1.3662	1.5155	25000	125000
9	Spectrogram 1	1	1.5582	1.6265	25000	125000
10	Spectrogram 1	1	1.6905	1.7758	25000	125000
